농장아이디,개체 구별 번호,산차,교배지수,경과일,교배일,임신 사고기간,임신 사고 원인,임신 기간,분만일,총산자수,미라,사산,실산자수,생시도태두수,양자전입두수,양자전출두수,포유자돈폐사 두수,부분이유 두수,포유기간,이유일,이유두수
PF_0021712,280,2,2,96,20201027,,,117,20210221,7,0,0,7,0,4,0,,,26,20210319,10
PF_0021712,367,0,1,273,20201231,,,116,20210426,12,0,0,12,1,0,0,,,25,20210521,11
PF_0021712,309,6,1,5,20201118,,,114,20210312,18,1,2,15,0,0,5,,,28,20210409,9
PF_0020292,1513,0,1,265,20210123,,,118,20210521,13,0,0,13,0,0,0,,,,,
PF_0020292,1488,0,1,245,20210103,,,116,20210429,14,0,0,14,0,0,0,,,21,20210520,11
PF_0021712,294,7,1,5,20201230,,,116,20210425,15,0,14,1,0,9,0,,,26,20210521,10
PF_0021712,329,5,2,47,20201117,,,115,20210312,7,0,0,7,0,3,0,,,28,20210409,10
PF_0021712,364,0,1,273,20201231,,,116,20210426,14,0,2,12,0,0,1,,,25,20210521,10
PF_0020292,1333,0,1,250,20200909,,,116,20210103,12,0,0,12,0,0,0,,,25,20210128,8
PF_0020292,381,7,1,5,20210112,,,117,20210509,11,0,0,11,0,0,0,,,18,20210527,11
PF_0020292,648,4,2,97,20210116,,,115,20210511,20,0,2,18,0,0,0,,,16,20210527,12
PF_0020292,755,3,1,4,20200907,,,117,20210102,15,0,0,15,0,0,0,,,19,20210121,12
PF_0020292,1187,2,1,5,20210126,,,116,20210522,17,0,3,14,0,0,0,,,,,
PF_0020292,248,9,1,14,20210107,,,116,20210503,15,0,2,13,0,0,0,,,,,
PF_0020292,824,3,1,4,20210104,,,117,20210501,10,0,2,8,0,0,0,,,26,20210527,12
PF_0020292,244,8,1,8,20200907,,,117,20210102,13,0,5,8,0,0,0,,,19,20210121,10
PF_0020292,1155,1,2,5,20210111,,,107,20210428,12,0,0,12,0,0,0,,,22,20210520,12
PF_0020292,691,4,1,3,20210113,,,126,20210519,11,0,0,11,0,0,0,,,,,
PF_0021712,391,1,1,4,20201117,,,118,20210315,14,1,1,12,0,0,0,,,25,20210409,12
PF_0020292,312,8,1,4,20210118,,,117,20210515,18,0,5,13,0,0,0,,,,,
PF_0021712,389,1,1,4,20201210,,,117,20210406,10,0,0,10,0,3,0,,,24,20210430,12
PF_0020292,1521,0,1,270,20210128,,,116,20210524,8,0,0,8,0,0,0,,,,,
PF_0020292,1320,1,1,19,20210202,,,117,20210530,13,0,0,13,0,0,0,,,,,
PF_0020292,1332,1,1,5,20210202,,,116,20210529,12,0,0,12,0,0,0,,,,,
PF_0020292,1527,0,1,263,20210203,,,120,20210603,11,0,2,9,0,0,0,,,,,
PF_0021712,386,1,3,6,20201231,,,115,20210425,15,1,0,14,0,0,3,,,26,20210521,11
PF_0021712,362,0,1,295,20210121,,,115,20210516,10,0,2,8,0,0,0,,,,,
PF_0021290,407,6,1,4,20200911,,,116,20210105,22,0,4,18,,,,,,,,
PF_0020253,57,4,1,1,20201017,,,115,20210209,10,0,1,9,,,,,,,,
PF_0020253,88,5,1,17,20200921,,,117,20210116,14,0,1,13,,,,3,,26,20210211,10
PF_0020236,540,1,1,5,20200929,,,116,20210123,18,0,1,17,,,,,,21,20210213,13
PF_0020236,323,4,1,5,20200908,,,116,20210102,14,0,1,13,,,,1,,21,20210123,11
PF_0020236,420,4,1,5,20200915,,,115,20210108,24,0,8,16,,,,4,,22,20210130,11
PF_0020236,466,6,1,4,20200914,,,116,20210108,23,0,4,19,,,,4,,15,20210123,11
PF_0020236,175,2,1,6,20200923,,,115,20210116,22,0,4,18,,,,,,21,20210206,13
PF_0021290,780,7,1,3,20200913,,,115,20210106,17,0,0,17,,,,,,,,
PF_0020236,264,1,1,30,20200919,,,117,20210114,22,0,2,20,,,,3,,16,20210130,11
PF_0020236,479,4,1,5,20200929,,,118,20210125,15,0,0,15,,,,,,19,20210213,13
PF_0020236,325,3,2,0,20200930,,,117,20210125,20,0,5,15,,,,,,19,20210213,13
PF_0020236,338,3,1,-5,20201013,,,116,20210206,15,0,2,13,,,,,,,,
PF_0020236,166,3,4,0,20200929,,,117,20210124,16,0,0,16,,,,1,,20,20210213,13
PF_0021295,73,1,1,67,20201003,,,116,20210127,17,3,0,14,,,,4,,-111,20201008,10
PF_0021295,82,1,1,18,20200927,,,116,20210121,6,0,0,6,,,,,,4,20210125,9
PF_0021280,43,8,1,15,20200918,,,115,20210111,13,2,0,11,,,,,,-342,20200204,12
PF_0021280,268,1,1,0,20200918,,,115,20210111,9,2,0,7,,,,,,24,20210204,13
PF_0021280,367,0,1,313,20200923,,,117,20210118,10,1,0,9,,,,,,17,20210204,11
PF_0021297,362,4,1,5,20201020,,,117,20210214,26,10,0,16,,,,,,,,
PF_0021290,689,0,1,350,20200914,,,115,20210107,8,0,0,8,,,,,,,,
