,좌표정보(X),좌표정보(Y),lon,lat,영화관
0,203799.86528368,462533.430210964,127.040964132491,37.665184347987626,영화관
1,204839.977931148,463796.381217133,127.05276090684325,37.676558364512125,영화관
2,188977.171050288,447466.355031447,126.87319365653178,37.529373431839375,영화관
3,191010.381048042,451972.154018501,126.89614036775131,37.56999240326742,영화관
4,205130.591678902,445590.096837802,127.0559292832903,37.512521137011326,영화관
5,205985.953324881,459730.43776924,127.06571826409112,37.63991860183286,영화관
6,205320.28476675,461419.881795004,127.05818836673735,37.65514412747116,영화관
7,193754.427350029,442407.201247108,126.92728352870944,37.48383563940914,영화관
8,195028.400590649,451317.909486649,126.94162656965086,37.56412845947357,영화관
9,195703.043681259,442094.085759338,126.94931727296684,37.481025713831485,영화관
10,191555.354381759,442679.208790615,126.90241674366844,37.486268798479855,영화관
11,191741.345847708,445970.307641467,126.90448248903456,37.515923205497714,영화관
12,193326.931018911,446973.914570276,126.9224082596647,37.524978584310034,영화관
13,206641.269177866,456981.085830359,127.07311829273814,37.61514307943335,영화관
14,193282.130799848,450549.280167182,126.92186843617394,37.55719200037008,영화관
15,198852.959716775,452253.942584507,126.98491350706335,37.57257497056964,영화관
16,197482.205329945,451938.30792481,126.96939790694438,37.56972831890214,영화관
17,197193.771272123,452199.428810287,126.96613198378324,37.57208013250597,영화관
18,199916.833506015,453462.420943009,126.99695613884758,37.583463985397344,영화관
19,199155.542697952,452083.12305066,126.98833890801995,37.571036255789934,영화관
20,199532.892103928,451004.636686214,126.99261113456608,37.56131951182663,영화관
21,199332.29889394,451378.467998728,126.990340421157,37.56468755353789,영화관
22,197164.226466038,451647.674131454,126.96579972554848,37.567108797068215,영화관
23,200613.510297669,451817.515366883,127.00484232182068,37.56864344723963,영화관
24,200573.641273539,451621.036467544,127.00439089841292,37.56687321815724,영화관
25,198636.2503948,451005.721641592,126.98246282385564,37.56132833388368,영화관
26,199519.649768304,450977.250545081,126.99246127640534,37.56107275788023,영화관
27,197243.215346366,450655.104239931,126.96669761782688,37.558166096928126,영화관
28,197279.328436862,451765.426505347,126.96710211829247,37.56817008714581,영화관
29,198418.741655644,451237.168596152,126.98000051200616,37.56341328305386,영화관
30,200154.692915213,449919.627798891,126.99964862464452,37.55154383824439,영화관
31,198527.099319279,450998.07341201,126.98122745355516,37.56125924855628,영화관
32,198333.470885484,451313.412912492,126.9790351993633,37.5641000796707,영화관
33,199498.592032161,451071.934979681,126.99222286993631,37.56192584181376,영화관
34,199267.107878626,451366.77906293,126.98960256016537,37.56458218343423,영화관
35,196762.077394917,447480.039577359,126.96126654334232,37.52955742609546,영화관
36,196864.360553566,447707.403309726,126.96242271624692,37.53160631975509,영화관
37,196370.746398773,447841.698787531,126.95683746953844,37.532814469423805,영화관
38,203903.353552789,448846.820248719,127.04206530324498,37.541869948327225,영화관
39,203321.562330114,451001.868687869,127.0354917873672,37.56128897122646,영화관
40,206349.675048285,448396.939704285,127.06974203287464,37.53780313525985,영화관
41,205845.946723741,448616.847693458,127.0640442948067,37.53978778359873,영화관
42,206445.881091692,448922.881688102,127.07083513200938,37.542541169372136,영화관
