"개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","전화번호","소재지면적","소재지우편번호","지번주소","도로명주소","도로명우편번호","사업장명","최종수정일자","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(X)","좌표정보(Y)","문화체육업종명","문화사업자구분명","총층수","주변환경명","제작취급품목내용","시설면적","지상층수","지하층수","건물용도명","통로너비","조명시설조도","노래방실수","청소년실수","비상계단여부","비상구여부","자동환기여부","청소년실여부","특수조명여부","방음시설여부","비디오재생기명","조명시설유무","음향시설여부","편의시설여부","소방시설여부","총게임기수","기존게임업외업종명","제공게임물명","공연장형태구분명","품목명","최초등록시점","지역구분명"
"3220000","CDFF4220001998000007","19980309","","01","영업/정상","13","영업중","","","","","","","135811","서울특별시 강남구 논현동 4-15번지 ","서울특별시 강남구 도산대로 128  (논현동)","","씨네마강남 2관","20030208135458","I","2018-08-31 23:59:59.0","","201924.485183724    ","446086.692910222    ","영화상영관","영화상영관","","","","0","","","","","","","","","","","","","","","","","","","","","","","","19980309",""
"3220000","CDFF4220001998000008","19980309","","03","폐업","03","폐업","20000426","","","","","","135931","서울특별시 강남구 역삼동 814-6번지 ","서울특별시 강남구 강남대로 438  (역삼동)","","동아극장 2관","20030208135458","I","2018-08-31 23:59:59.0","","202262.457856142    ","444382.542260289    ","영화상영관","영화상영관","","","","0","","","","","","","","","","","","","","","","","","","","","","","","19980309",""
"3220000","CDFF4220001998000009","19980616","","03","폐업","03","폐업","19991105","","","","","","135825","서울특별시 강남구 논현동 164번지 ","서울특별시 강남구 강남대로 520  (논현동)","","파라마운트비디오소극장","20030208135458","I","2018-08-31 23:59:59.0","","201962.838798283    ","445158.311972517    ","영화상영관","영화상영관","","","","0","","","","","","","","","","","","","","","","","","","","","","","","19980616",""
"3220000","CDFF4220001999000002","19990403","","01","영업/정상","13","영업중","","","","","","","135811","서울특별시 강남구 논현동 1-3번지 ","서울특별시 강남구 도산대로 108  (논현동)","","클래식시네마스페이스(주)","20030208135458","I","2018-08-31 23:59:59.0","","201753.188497176    ","446003.445191841    ","영화상영관","영화상영관","0","","","0","0","2","","","","","","","","","","","","","","","","","","","","","","19990403",""
"3220000","CDFF4220001999000003","19990816","","03","폐업","03","폐업","20080829","","","","","","135825","서울특별시 강남구 논현동 164-7번지 ","서울특별시 강남구 강남대로 510  (논현동)","","뤼미에르 1관","20080829190831","I","2018-08-31 23:59:59.0","","201996.425          ","445069.98           ","영화상영관","영화상영관","","","","","","","","","","","","","","","","","","","","","","","","","","영화관","","19990816",""
"3220000","CDFF4220001999000004","19990816","","03","폐업","03","폐업","20080829","","","","","","135825","서울특별시 강남구 논현동 164-7번지 ","서울특별시 강남구 강남대로 510  (논현동)","","뤼미에르 2관","20080829190900","I","2018-08-31 23:59:59.0","","201996.425          ","445069.98           ","영화상영관","영화상영관","","","","","","","","","","","","","","","","","","","","","","","","","","영화관","","19990816",""
"3220000","CDFF4220001999000005","19990816","","03","폐업","03","폐업","20080829","","","","","","135825","서울특별시 강남구 논현동 164-7번지 ","서울특별시 강남구 강남대로 510  (논현동)","","뤼미에르 3관","20080829190931","I","2018-08-31 23:59:59.0","","201996.425          ","445069.98           ","영화상영관","영화상영관","","","","","","","","","","","","","","","","","","","","","","","","","","영화관","","19990816",""
"3220000","CDFF4220001999000006","19991011","","01","영업/정상","13","영업중","","","","","","","135819","서울특별시 강남구 논현동 91-6번지 ","서울특별시 강남구 도산대로 310  (논현동)","","씨네하우스 1관","20030208135458","I","2018-08-31 23:59:59.0","","203064.64017084     ","446594.319138687    ","영화상영관","영화상영관","","","","0","","","","","","","","","","","","","","","","","","","","","","","","19991011",""
"3220000","CDFF4220001999000007","19991011","","01","영업/정상","13","영업중","","","","","","","135819","서울특별시 강남구 논현동 91-6번지 ","서울특별시 강남구 도산대로 310  (논현동)","","씨네하우스 4관","20030208135458","I","2018-08-31 23:59:59.0","","203064.64017084     ","446594.319138687    ","영화상영관","영화상영관","","","","0","","","","","","","","","","","","","","","","","","","","","","","","19991011",""
"3220000","CDFF4220001999000008","19991011","","01","영업/정상","13","영업중","","","","","","","135819","서울특별시 강남구 논현동 91-6번지 ","서울특별시 강남구 도산대로 310  (논현동)","","씨네하우스 2관","20030208135458","I","2018-08-31 23:59:59.0","","203064.64017084     ","446594.319138687    ","영화상영관","영화상영관","","","","0","","","","","","","","","","","","","","","","","","","","","","","","19991011",""
