개체 ID,그룹,상태,산차,출생 후 일수/연령,최근 수정 이후 경과일수,임신 일수,예상 분만
7006,3동,수정됨,4,145,72,,"2023.04.09.
+213 Days"
114,2동,수정된 육성우,0,597,72,,"2023.04.09.
+213 Days"
6084,3동,수정됨,9,143,71,,"2023.04.10.
+214 Days"
4033,아래,임신,6,143,70,70,"2023.04.11.
+215 Days"
4066,3동,수정됨,6,109,69,,"2023.04.12.
+216 Days"
7046,3동,수정됨,4,108,66,,"2023.04.15.
+219 Days"
5069,3동,수정됨,5,155,65,,"2023.04.16.
+220 Days"
006,2동,수정된 육성우,0,608,62,,"2023.04.19.
+223 Days"
6077,1동,임신,4,103,62,62,"2023.04.19.
+223 Days"
4025,3동,수정됨,7,102,62,,"2023.04.19.
+223 Days"
0041,2동,수정됨,1,146,60,,"2023.04.21.
+225 Days"
0034,3동,수정됨,1,131,59,,"2023.04.22.
+226 Days"
9251,1동,수정됨,2,108,55,,"2023.04.26.
+230 Days"
3047,3동,수정됨,7,124,54,,"2023.04.27.
+231 Days"
9022,1동,임신,2,110,54,54,"2023.04.27.
+231 Days"
5028,3동,수정됨,5,142,50,,"2023.05.01.
+235 Days"
7039,1동,임신,3,143,49,49,"2023.05.02.
+236 Days"
8032,3동,수정됨,3,159,48,,"2023.05.03.
+237 Days"
9031,2동,수정됨,2,80,48,,"2023.05.03.
+237 Days"
0029,3동,수정됨,1,99,46,,"2023.05.05.
+239 Days"
5017,1동,수정됨,6,94,41,,"2023.05.10.
+244 Days"
119,2동,수정된 육성우,0,585,38,,"2023.05.13.
+247 Days"
2028,3동,수정됨,8,183,36,,"2023.05.15.
+249 Days"
6036,아래,수정됨,3,148,35,,"2023.05.16.
+250 Days"
3067,1동,수정됨,6,124,34,,"2023.05.17.
+251 Days"
7074,3동,수정됨,2,221,33,,"2023.05.18.
+252 Days"
0015,아래,수정됨,1,99,31,,"2023.05.20.
+254 Days"
7100,2동,수정됨,3,69,29,,"2023.05.22.
+256 Days"
0102,2동,수정된 육성우,0,645,28,,"2023.05.23.
+257 Days"
004,2동,수정된 육성우,0,612,26,,"2023.05.25.
+259 Days"
005,2동,수정된 육성우,0,612,25,,"2023.05.26.
+260 Days"
115,2동,수정된 육성우,0,594,25,,"2023.05.26.
+260 Days"
5082,2동,수정됨,5,68,24,,"2023.05.27.
+261 Days"
0019,1동,수정됨,1,119,23,,"2023.05.28.
+262 Days"
4052,2동,수정됨,5,71,22,,"2023.05.29.
+263 Days"
8031,1동,수정됨,3,109,22,,"2023.05.29.
+263 Days"
0018,1동,수정됨,1,66,21,,"2023.05.30.
+264 Days"
1189,2동,수정됨,8,54,17,,"2023.06.03.
+268 Days"
2018,3동,수정됨,8,138,16,,"2023.06.04.
+269 Days"
5019,2동,수정됨,6,54,16,,"2023.06.04.
+269 Days"
0036,3동,수정됨,1,76,16,,"2023.06.04.
+269 Days"
1093,1동,수정됨,9,141,16,,"2023.06.04.
+269 Days"
1051,3동,수정됨,6,102,16,,"2023.06.04.
+269 Days"
5048,2동,수정됨,5,66,15,,"2023.06.05.
+270 Days"
6041,3동,수정됨,4,146,15,,"2023.06.05.
+270 Days"
0047,3동,수정됨,1,138,15,,"2023.06.05.
+270 Days"
8042,아래,수정됨,3,91,15,,"2023.06.05.
+270 Days"
5018,1동,수정됨,5,90,12,,"2023.06.08.
+273 Days"
6078,아래,수정됨,4,97,12,,"2023.06.08.
+273 Days"
8029,2동,수정됨,3,69,12,,"2023.06.08.
+273 Days"
4078,1동,수정됨,6,91,12,,"2023.06.08.
+273 Days"
8080,2동,수정됨,3,62,10,,"2023.06.10.
+275 Days"
0008,2동,수정됨,1,54,10,,"2023.06.10.
+275 Days"
7020,1동,수정됨,4,185,10,,"2023.06.10.
+275 Days"
8078,2동,수정됨,3,99,9,,"2023.06.11.
+276 Days"
120,3동,수정된 육성우,0,585,9,,"2023.06.11.
+276 Days"
9046,2동,수정됨,2,59,9,,"2023.06.11.
+276 Days"
8039,2동,수정됨,3,76,7,,"2023.06.13.
+278 Days"
6057,2동,수정됨,5,54,5,,"2023.06.15.
+280 Days"