id,cow_num,group,stats,carving_num,age,sensorID
148,5016,third farm,Pregnancy,6,215,
149,5017,first farm,fertilization,6,101,10058253
150,5018,first farm,fertilization,5,97,10058638
151,5019,second farm,fertilization,6,61,10057975
152,5025,third farm, preparation for pregnancy,5,114,16
153,5027,third farm,fertilization,6,149,10058633
154,5030,second farm,recent delivery,6,13,
155,5031,third farm,fertilization,6,204,10057986
156,5032,calf farm,fertilization,5,206,10075531
157,5033,third farm,Pregnancy,5,245,
158,5036,third farm, preparation for pregnancy,4,189,17
159,5041,second farm,Pregnancy,5,316,
160,5046,third farm,fertilization,5,207,10058223
161,5048,second farm,fertilization,5,73,10059629
162,5055,calf farm,Pregnancy,4,257,
163,5057,calf farm,Pregnancy,4,165,
164,5061,third farm,Pregnancy,5,254,
165,5066,third farm,Pregnancy,5,260,
166,5069,third farm,fertilization,5,162,10079615
167,5076,third farm,fertilization,4,260,10058464
168,5082,second farm,fertilization,5,75,10060013
169,5085,calf farm,Pregnancy,4,220,
170,5088,calf farm,Pregnancy,5,135,
171,5089,third farm,Pregnancy,4,456,
172,5090,third farm, preparation for pregnancy,5,64,18
173,5216,second farm, preparation for pregnancy,6,97,19
174,5280,third farm,Pregnancy,3,173,
175,6001,third farm,Pregnancy,4,192,
176,6002,third farm,Pregnancy,4,167,
177,6006,third farm, preparation for pregnancy,5,88,001A
178,6007,third farm,Pregnancy,4,187,
179,6010,third farm,Pregnancy,3,187,
180,6013,first farm,Pregnancy,4,291,
181,6031,second farm, preparation for pregnancy,4,94,001B
182,6033,third farm,Pregnancy,4,186,
183,6034,second farm, preparation for pregnancy,5,91,001C
184,6036,calf farm,fertilization,3,155,10058761
185,6039,third farm, preparation for pregnancy,5,71,001D
186,6041,third farm,fertilization,4,153,10059190
187,6042,third farm,Pregnancy,4,180,
188,6047,third farm,Pregnancy,4,212,
189,6052,third farm,Pregnancy,4,248,
190,6056,second farm,Pregnancy,3,385,
191,6057,second farm,fertilization,5,61,10057890
192,6065,calf farm,recent delivery,4,32,10059553
193,6068,third farm,Pregnancy,4,238,
194,6069,third farm,fertilization,4,177,10058627
195,6070,first farm,Pregnancy,4,169,
196,6073,third farm,Pregnancy,4,222,
197,6077,first farm,Pregnancy,4,110,
198,6078,calf farm,fertilization,4,104,10058705
199,6079,second farm,Pregnancy,3,281,
200,6080,second farm,fertilization,4,143,10057883
201,6084,third farm,fertilization,9,150,10057987
202,7006,third farm,fertilization,4,152,10057891
203,7007,third farm, preparation for pregnancy,4,135,001E
204,7008,third farm,Pregnancy,4,234,
205,7009,second farm, preparation for pregnancy,3,36,
206,7010,third farm,Pregnancy,4,187,
207,7011,third farm,Pregnancy,4,183,
208,7015,calf farm, preparation for pregnancy,3,39,
209,7019,second farm,Pregnancy,3,344,
210,7020,first farm,fertilization,4,192,10058438
211,7026,third farm, preparation for pregnancy,4,138,
212,7029,second farm,recent delivery,4,24,10059701
213,7032,second farm,Pregnancy,3,344,
214,7035,second farm,recent delivery,4,31,10069981
215,7036,first farm,Pregnancy,3,280,
216,7039,first farm,Pregnancy,3,150,
217,7041,third farm, preparation for pregnancy,3,110,
218,7043,third farm,fertilization,3,135,10075530
219,7045,third farm,Pregnancy,4,135,
220,7046,third farm,fertilization,4,115,10058250
221,7047,third farm,fertilization,4,132,10059707
222,7049,second farm,Pregnancy,3,334,
223,7052,second farm, preparation for pregnancy,4,75,
224,7062,second farm,Pregnancy,2,360,
225,7063,third farm,fertilization,4,102,10060311
226,7064,first farm,Pregnancy,3,249,
227,7073,second farm, preparation for pregnancy,5,78,
228,7074,third farm,fertilization,2,228,10057885
229,7075,third farm,Pregnancy,3,255,
230,7084,second farm,Pregnancy,3,321,
231,7088,third farm,Pregnancy,3,202,
232,7090,first farm,Pregnancy,3,286,
233,7091,third farm,Pregnancy,3,204,
234,7092,second farm,Pregnancy,2,406,
235,7093,second farm,Pregnancy,3,283,
236,7100,second farm,fertilization,3,76,10060197
237,7204,third farm,Pregnancy,3,230,
238,7210,second farm, preparation for pregnancy,4,61,
239,8015,second farm,Pregnancy,2,323,
240,8018,third farm,Pregnancy,3,195,
241,8021,third farm,Pregnancy,3,158,
242,8024,calf farm, preparation for pregnancy,3,163,
243,8027,second farm,recent delivery,2,34,10059537
244,8029,second farm,fertilization,3,76,10059977
245,8031,first farm,fertilization,3,116,10059185
246,8032,third farm,fertilization,3,166,10057977
247,8035,third farm,Pregnancy,4,466,
248,8037,second farm,recent delivery,3,1,
249,8039,second farm,fertilization,3,83,10104188
250,8040,first farm,Pregnancy,2,246,
251,8042,calf farm,fertilization,3,98,10059111
252,8045,third farm,Pregnancy,2,233,
253,8046,second farm,Pregnancy,2,368,
254,8048,calf farm, preparation for pregnancy,2,162,
255,8051,second farm,recent delivery,3,25,10060203
256,8052,second farm, preparation for pregnancy,2,59,
257,8054,second farm, preparation for pregnancy,3,81,
258,8055,second farm, preparation for pregnancy,3,41,
259,8056,second farm, preparation for pregnancy,3,59,
260,8058,second farm, preparation for pregnancy,3,69,
261,8059,second farm,Pregnancy,2,309,
262,8060,second farm, preparation for pregnancy,3,50,
263,8063,first farm,Pregnancy,2,293,
264,8064,third farm,Pregnancy,2,276,
265,8065,second farm, preparation for pregnancy,2,64,
266,8066,second farm,fertilization,2,317,10057908
267,8069,first farm,Pregnancy,2,284,
268,8071,third farm, preparation for pregnancy,3,41,
269,8072,second farm,Pregnancy,2,309,
270,8073,second farm, preparation for pregnancy,3,48,
271,8074,third farm,Pregnancy,2,267,
272,8076,calf farm,Pregnancy,2,241,
273,8078,second farm,fertilization,3,106,10058683
274,8080,second farm,fertilization,3,69,10070041
275,8083,third farm,Pregnancy,2,248,
276,8086,second farm,Pregnancy,2,324,
277,8087,calf farm,Pregnancy,2,181,
278,8089,second farm,Pregnancy,2,313,
279,8090,third farm,Pregnancy,2,253,
280,8091,third farm,Pregnancy,2,275,
281,8092,calf farm,Pregnancy,2,257,
282,8093,second farm,fertilization,2,360,10060133
283,8094,second farm,Pregnancy,10,371,
284,8096,first farm,Pregnancy,2,288,
285,8097,second farm,fertilization,2,69,10057872
286,8098,second farm,Pregnancy,2,305,
287,8100,second farm,Pregnancy,2,316,
288,8101,second farm,Pregnancy,2,314,
289,8102,third farm,fertilization,2,195,10060143
290,8104,third farm,Pregnancy,2,258,
291,8105,second farm,Pregnancy,2,299,
292,8288,second farm,Pregnancy,2,331,
293,8312,second farm,Pregnancy,2,299,
294,9000,third farm,Pregnancy,2,268,
295,9001,third farm,Pregnancy,2,218,
296,9002,third farm,fertilization,2,238,10058746
297,9003,second farm,Pregnancy,2,318,
298,9010,third farm,Pregnancy,2,221,
299,9012,third farm,Pregnancy,2,150,
300,9013,third farm,Pregnancy,2,163,
301,9018,first farm,Pregnancy,2,188,
302,9019,first farm,Pregnancy,2,202,
303,9022,first farm,Pregnancy,2,117,
304,9028,first farm,recent delivery,2,30,10069779
305,9030,second farm, preparation for pregnancy,2,38,
306,9031,second farm,fertilization,2,87,10059941
307,9035,second farm,fertilization,2,82,10060132
308,9038,second farm, preparation for pregnancy,2,45,
309,9039,second farm,Pregnancy,1,432,
310,9046,second farm,fertilization,2,66,10226924
311,9048,second farm,Pregnancy,1,357,
312,9050,second farm, preparation for pregnancy,2,57,
313,9051,second farm,Pregnancy,1,396,
314,9052,second farm,Pregnancy,1,421,
315,9055,second farm,Pregnancy,1,367,
316,9056,second farm,Pregnancy,1,409,
317,9057,second farm,recent delivery,2,20,10060160
318,9059,second farm,Pregnancy,1,428,
319,9063,second farm,Pregnancy,1,324,
320,9064,second farm, preparation for pregnancy,2,41,
321,9066,second farm,Pregnancy,1,302,
322,9068,second farm,Pregnancy,1,283,
323,9077,second farm,Pregnancy,1,369,
324,9078,second farm,Pregnancy,1,349,
325,9080,second farm,Pregnancy,1,309,
326,9083,third farm,Pregnancy,1,180,
327,9089,third farm,Pregnancy,1,257,
328,9093,third farm,Pregnancy,1,293,
329,9094,second farm,recent delivery,2,15,
330,9100,calf farm,Pregnancy,1,264,
331,9103,third farm,Pregnancy,1,291,
332,9216,third farm,Pregnancy,2,241,
333,9221,third farm,fertilization,2,148,10057881
334,9222,first farm, preparation for pregnancy,2,42,
335,9235,third farm,Pregnancy,2,187,
336,9242,first farm,Pregnancy,2,140,
337,9258,second farm,Pregnancy,1,404,
338,9291,second farm,recent delivery,2,28,10059538
339,10147,third farm,Pregnancy,9,261,
340,80530,second farm,recent delivery,12,5,
341,003B,second farm,fertilization,0,619,10060145
342,A140,third farm, preparation for pregnancy,0,533,10059116
343,A142,second farm, preparation for pregnancy,0,527,10060144
344,A143,second farm, preparation for pregnancy,0,527,10058326
345,A144,calf farm, preparation for pregnancy,0,526,
346,A146,calf farm, preparation for pregnancy,0,525,
347,A157,second farm, preparation for pregnancy,0,505,
