cow_num,group,stats,carving_num,age,sensorID,,,,
5018,1동,수정됨,5,97,10058638,,,,
5019,2동,수정됨,6,61,10057975,,,,
5025,3동,수정 준비됨,5,114,16,,,,
5027,3동,수정됨,6,149,10058633,,,,
5030,2동,최근 분만우,6,13,,,,,
5031,3동,수정됨,6,204,10057986,,,,
5032,아래,수정됨,5,206,10075531,,,,
5033,3동,임신,5,245,,,,,
5036,3동,수정 준비됨,4,189,17,,,,
5041,2동,임신,5,316,,,,,
5046,3동,수정됨,5,207,10058223,,,,
5048,2동,수정됨,5,73,10059629,,,,
5055,아래,임신,4,257,,,,,
5057,아래,임신,4,165,,,,,
5061,3동,임신,5,254,,,,,
5066,3동,임신,5,260,,,,,
5069,3동,수정됨,5,162,10079615,,,,
5076,3동,수정됨,4,260,10058464,,,,
5082,2동,수정됨,5,75,10060013,,,,
5085,아래,임신,4,220,,,,,
5088,아래,임신,5,135,,,,,
5089,3동,임신,4,456,,,,,
5090,3동,수정 준비됨,5,64,18,,,,
5216,2동,수정 준비됨,6,97,19,,,,
5280,3동,임신,3,173,,,,,
6001,3동,임신,4,192,,,,,
6002,3동,임신,4,167,,,,,
6006,3동,수정 준비됨,5,88,001A,,,,
6007,3동,임신,4,187,,,,,
6010,3동,임신,3,187,,,,,
6013,1동,임신,4,291,,,,,
6031,2동,수정 준비됨,4,94,001B,,,,
6033,3동,임신,4,186,,,,,
6034,2동,수정 준비됨,5,91,001C,,,,
6036,아래,수정됨,3,155,10058761,,,,
6039,3동,수정 준비됨,5,71,001D,,,,
6041,3동,수정됨,4,153,10059190,,,,
6042,3동,임신,4,180,,,,,
6047,3동,임신,4,212,,,,,
6052,3동,임신,4,248,,,,,
6056,2동,임신,3,385,,,,,
6057,2동,수정됨,5,61,10057890,,,,
6065,아래,최근 분만우,4,32,10059553,,,,
6068,3동,임신,4,238,,,,,
6069,3동,수정됨,4,177,10058627,,,,
6070,1동,임신,4,169,,,,,
6073,3동,임신,4,222,,,,,
6077,1동,임신,4,110,,,,,
6078,아래,수정됨,4,104,10058705,,,,
6079,2동,임신,3,281,,,,,
6080,2동,수정됨,4,143,10057883,,,,
6084,3동,수정됨,9,150,10057987,,,,
7006,3동,수정됨,4,152,10057891,,,,
7007,3동,수정 준비됨,4,135,001E,,,,
7008,3동,임신,4,234,,,,,
7009,2동,수정 준비됨,3,36,,,,,
7010,3동,임신,4,187,,,,,
7011,3동,임신,4,183,,,,,
7015,아래,수정 준비됨,3,39,,,,,
7019,2동,임신,3,344,,,,,
7020,1동,수정됨,4,192,10058438,,,,
7026,3동,수정 준비됨,4,138,,,,,
7029,2동,최근 분만우,4,24,10059701,,,,
7032,2동,임신,3,344,,,,,
7035,2동,최근 분만우,4,31,10069981,,,,
7036,1동,임신,3,280,,,,,
7039,1동,임신,3,150,,,,,
7041,3동,수정 준비됨,3,110,,,,,
7043,3동,수정됨,3,135,10075530,,,,
7045,3동,임신,4,135,,,,,
7046,3동,수정됨,4,115,10058250,,,,
7047,3동,수정됨,4,132,10059707,,,,
7049,2동,임신,3,334,,,,,
7052,2동,수정 준비됨,4,75,,,,,
7062,2동,임신,2,360,,,,,
7063,3동,수정됨,4,102,10060311,,,,
7064,1동,임신,3,249,,,,,
7073,2동,수정 준비됨,5,78,,,,,
7074,3동,수정됨,2,228,10057885,,,,
7075,3동,임신,3,255,,,,,
7084,2동,임신,3,321,,,,,
7088,3동,임신,3,202,,,,,
7090,1동,임신,3,286,,,,,
7091,3동,임신,3,204,,,,,
7092,2동,임신,2,406,,,,,
7093,2동,임신,3,283,,,,,
7100,2동,수정됨,3,76,10060197,,,,
7204,3동,임신,3,230,,,,,
7210,2동,수정 준비됨,4,61,,,,,
8015,2동,임신,2,323,,,,,
8018,3동,임신,3,195,,,,,
8021,3동,임신,3,158,,,,,
8024,아래,수정 준비됨,3,163,,,,,
8027,2동,최근 분만우,2,34,10059537,,,,
8029,2동,수정됨,3,76,10059977,,,,
8031,1동,수정됨,3,116,10059185,,,,
8032,3동,수정됨,3,166,10057977,,,,
8035,3동,임신,4,466,,,,,
8037,2동,최근 분만우,3,1,,,,,
8039,2동,수정됨,3,83,10104188,,,,
8040,1동,임신,2,246,,,,,
8042,아래,수정됨,3,98,10059111,,,,
8045,3동,임신,2,233,,,,,
8046,2동,임신,2,368,,,,,
8048,아래,수정 준비됨,2,162,,,,,
8051,2동,최근 분만우,3,25,10060203,,,,
8052,2동,수정 준비됨,2,59,,,,,
8054,2동,수정 준비됨,3,81,,,,,
8055,2동,수정 준비됨,3,41,,,,,
8056,2동,수정 준비됨,3,59,,,,,
8058,2동,수정 준비됨,3,69,,,,,
8059,2동,임신,2,309,,,,,
8060,2동,수정 준비됨,3,50,,,,,
8063,1동,임신,2,293,,,,,
8064,3동,임신,2,276,,,,,
8065,2동,수정 준비됨,2,64,,,,,
8066,2동,수정됨,2,317,10057908,,,,
8069,1동,임신,2,284,,,,,
8071,3동,수정 준비됨,3,41,,,,,
8072,2동,임신,2,309,,,,,
8073,2동,수정 준비됨,3,48,,,,,
8074,3동,임신,2,267,,,,,
8076,아래,임신,2,241,,,,,
8078,2동,수정됨,3,106,10058683,,,,
8080,2동,수정됨,3,69,10070041,,,,
8083,3동,임신,2,248,,,,,
8086,2동,임신,2,324,,,,,
8087,아래,임신,2,181,,,,,
8089,2동,임신,2,313,,,,,
8090,3동,임신,2,253,,,,,
8091,3동,임신,2,275,,,,,
8092,아래,임신,2,257,,,,,
8093,2동,수정됨,2,360,10060133,,,,
8094,2동,임신,10,371,,,,,
8096,1동,임신,2,288,,,,,
8097,2동,수정됨,2,69,10057872,,,,
8098,2동,임신,2,305,,,,,
8100,2동,임신,2,316,,,,,
8101,2동,임신,2,314,,,,,
8102,3동,수정됨,2,195,10060143,,,,
8104,3동,임신,2,258,,,,,
8105,2동,임신,2,299,,,,,
8288,2동,임신,2,331,,,,,
8312,2동,임신,2,299,,,,,
9000,3동,임신,2,268,,,,,
9001,3동,임신,2,218,,,,,
9002,3동,수정됨,2,238,10058746,,,,
9003,2동,임신,2,318,,,,,
9010,3동,임신,2,221,,,,,
9012,3동,임신,2,150,,,,,
9013,3동,임신,2,163,,,,,
9018,1동,임신,2,188,,,,,
9019,1동,임신,2,202,,,,,
9022,1동,임신,2,117,,,,,
9028,1동,최근 분만우,2,30,10069779,,,,
9030,2동,수정 준비됨,2,38,,,,,
9031,2동,수정됨,2,87,10059941,,,,
9035,2동,수정됨,2,82,10060132,,,,
9038,2동,수정 준비됨,2,45,,,,,
9039,2동,임신,1,432,,,,,
9046,2동,수정됨,2,66,10226924,,,,
9048,2동,임신,1,357,,,,,
9050,2동,수정 준비됨,2,57,,,,,
9051,2동,임신,1,396,,,,,
9052,2동,임신,1,421,,,,,
9055,2동,임신,1,367,,,,,
9056,2동,임신,1,409,,,,,
9057,2동,최근 분만우,2,20,10060160,,,,
9059,2동,임신,1,428,,,,,
9063,2동,임신,1,324,,,,,
9064,2동,수정 준비됨,2,41,,,,,
9066,2동,임신,1,302,,,,,
9068,2동,임신,1,283,,,,,
9077,2동,임신,1,369,,,,,
9078,2동,임신,1,349,,,,,
9080,2동,임신,1,309,,,,,
9083,3동,임신,1,180,,,,,
9089,3동,임신,1,257,,,,,
9093,3동,임신,1,293,,,,,
9094,2동,최근 분만우,2,15,,,,,
9100,아래,임신,1,264,,,,,
9103,3동,임신,1,291,,,,,
9216,3동,임신,2,241,,,,,
9221,3동,수정됨,2,148,10057881,,,,
