id,_id,sensor_ver,msg_ver,sensorID,macAddr,battery,temp,hPa,acc_x,acc_y,acc_z,vector,rssi,time,packetnum,krTime
40,2022-08-01 0:32,N,4,16,60:A4:23:D4:5D:A3,3.1,31.7,1006,35,44,41,80,64,2022-08-01 0:32,82,2022-08-01 9:33
41,2022-08-01 0:34,V,3,001E,60:A4:23:7F:3D:60,1.3,27.6,1014,4,4,5,10,91,2022-08-01 0:34,77,2022-08-01 9:34
42,2022-08-01 0:34,N,4,17,60:A4:23:D4:5D:C7,3.1,30.6,1009,17,20,15,36,76,2022-08-01 0:34,82,2022-08-01 9:34
43,2022-08-01 0:35,V,3,001C,60:A4:23:7F:49:30,1.3,28.2,1014,4,5,5,10,90,2022-08-01 0:35,47,2022-08-01 9:35
44,2022-08-01 0:35,N,4,18,60:A4:23:C9:A0:E3,3.1,31.2,1006,19,31,24,50,76,2022-08-01 0:35,82,2022-08-01 9:35
45,2022-08-01 0:36,N,4,10,60:A4:23:C9:A0:4C,3,29.9,1006,30,41,27,66,79,2022-08-01 0:36,84,2022-08-01 9:36
46,2022-08-01 0:37,N,4,19,60:A4:23:D4:5D:84,3,34.2,1029,27,30,19,51,69,2022-08-01 0:37,82,2022-08-01 9:37
47,2022-08-01 0:38,N,4,13,60:A4:23:C9:A0:3E,3,31.5,1023,54,81,52,127,69,2022-08-01 0:38,83,2022-08-01 9:38
48,2022-08-01 0:40,N,4,14,60:A4:23:C9:A0:2F,3.1,32.5,1016,9,9,11,19,75,2022-08-01 0:40,83,2022-08-01 9:40
49,2022-08-01 0:41,N,4,11,60:A4:23:C9:A0:9B,3,32.5,1010,20,20,17,38,82,2022-08-01 0:41,84,2022-08-01 9:41
50,2022-08-01 0:42,N,4,15,60:A4:23:C9:A0:3B,3,30.1,1026,62,78,58,134,72,2022-08-01 0:42,83,2022-08-01 9:42
51,2022-08-01 0:42,N,4,12,60:A4:23:C9:A0:4D,3,28.3,1022,10,12,11,23,66,2022-08-01 0:42,84,2022-08-01 9:42
52,2022-08-01 0:42,N,4,16,60:A4:23:D4:5D:A3,3.1,31.8,1006,28,40,30,66,83,2022-08-01 0:42,83,2022-08-01 9:43
53,2022-08-01 0:44,N,4,17,60:A4:23:D4:5D:C7,3.1,30.5,1009,19,18,13,33,82,2022-08-01 0:44,83,2022-08-01 9:44
54,2022-08-01 0:45,V,3,001C,60:A4:23:7F:49:30,1.3,28.4,1014,4,4,6,10,90,2022-08-01 0:45,48,2022-08-01 9:45
55,2022-08-01 0:45,N,4,18,60:A4:23:C9:A0:E3,3.1,30.9,1006,15,24,18,39,77,2022-08-01 0:45,83,2022-08-01 9:45
56,2022-08-01 0:45,V,3,001D,60:A4:23:7F:3D:52,1.3,23.9,1014,4,5,5,10,95,2022-08-01 0:45,78,2022-08-01 9:45
57,2022-08-01 0:46,N,4,10,60:A4:23:C9:A0:4C,3,29.9,1006,32,52,37,82,76,2022-08-01 0:46,85,2022-08-01 9:46
58,2022-08-01 0:47,N,4,19,60:A4:23:D4:5D:84,3,33.8,1029,53,67,48,114,72,2022-08-01 0:47,83,2022-08-01 9:47
59,2022-08-01 0:48,N,4,13,60:A4:23:C9:A0:3E,3,32.5,1023,73,98,71,162,70,2022-08-01 0:48,84,2022-08-01 9:48
60,2022-08-01 0:50,N,4,14,60:A4:23:C9:A0:2F,3.1,32.9,1016,19,20,18,38,72,2022-08-01 0:50,84,2022-08-01 9:50
61,2022-08-01 0:51,N,4,11,60:A4:23:C9:A0:9B,3,32.5,1010,26,32,24,56,88,2022-08-01 0:51,85,2022-08-01 9:51
