개체 ID,그룹,상태,산차,출생 후 일수/연령,Flex 태그
6033,3동,임신,4,179,
6034,2동,수정 준비됨,5,84,10058249
6036,아래,수정됨,3,148,10058761
6039,3동,수정 준비됨,5,64,10081460
6041,3동,수정됨,4,146,10059190
6042,3동,임신,4,173,
6047,3동,임신,4,205,
6052,3동,임신,4,241,
6056,2동,임신,3,378,
6057,2동,수정됨,5,54,10057890
6065,아래,최근 분만우,4,25,10059553
6068,3동,임신,4,231,
6069,3동,수정됨,4,170,10058627
6070,1동,임신,4,162,
6073,3동,임신,4,215,
6077,1동,임신,4,103,
6078,아래,수정됨,4,97,10058705
6079,2동,임신,3,274,
6080,2동,수정됨,4,136,10057883
6084,3동,수정됨,9,143,10057987
7006,3동,수정됨,4,145,10057891
7007,3동,수정 준비됨,4,128,10058609
7008,3동,임신,4,227,
7009,2동,최근 분만우,3,29,10070206
7010,3동,임신,4,180,
7011,3동,임신,4,176,
7015,아래,최근 분만우,3,32,10060365
7019,2동,임신,3,337,
7020,1동,수정됨,4,185,10058438
7026,3동,수정 준비됨,4,131,10059981
7029,2동,최근 분만우,4,17,10059701
7032,2동,임신,3,337,
7035,2동,최근 분만우,4,24,10069981
7036,1동,임신,3,273,
7039,1동,임신,3,143,
7041,3동,수정 준비됨,3,103,10057960
7043,3동,수정됨,3,128,10075530
7045,3동,임신,4,128,
7046,3동,수정됨,4,108,10058250
7047,3동,수정됨,4,125,10059707
7049,2동,임신,3,327,
7052,2동,수정 준비됨,4,68,10060168
7062,2동,임신,2,353,
7063,3동,수정 준비됨,4,95,10060311
7064,1동,임신,3,242,
7073,2동,수정 준비됨,5,71,10057875
7074,3동,수정됨,2,221,10057885
7075,3동,임신,3,248,
7084,2동,임신,3,314,
7088,3동,임신,3,195,
7090,1동,임신,3,279,
7091,3동,임신,3,197,
7092,2동,임신,2,399,
7093,2동,임신,3,276,
7100,2동,수정됨,3,69,10060197
7204,3동,임신,3,223,
7210,2동,수정 준비됨,4,54,10058236
8015,2동,임신,2,316,
8018,3동,임신,3,188,
8021,3동,임신,3,151,
8024,아래,수정 준비됨,3,156,10070110
8027,2동,최근 분만우,2,27,10059537
8029,2동,수정됨,3,69,10059977
8031,1동,수정됨,3,109,10059185
8032,3동,수정됨,3,159,10057977
8035,3동,임신,4,459,
8037,2동,임신,2,352,
8039,2동,수정됨,3,76,10104188
8040,1동,임신,2,239,
8042,아래,수정됨,3,91,10059111
8045,3동,임신,2,226,
8046,2동,임신,2,361,
8048,아래,수정 준비됨,2,155,10059114
8051,2동,최근 분만우,3,18,10060203
8052,2동,수정 준비됨,2,52,10057904
8054,2동,수정 준비됨,3,74,10059141
8055,2동,최근 분만우,3,34,10057864
8056,2동,수정 준비됨,3,52,10058616
8057,아래,수정 준비됨,2,143,10058663
8058,2동,수정 준비됨,3,62,10058230
8059,2동,임신,2,302,
8060,2동,수정 준비됨,3,43,10059024
8063,1동,임신,2,286,
8064,3동,임신,2,269,
8065,2동,수정 준비됨,2,57,10057893
8066,2동,수정됨,2,310,10057908
8069,1동,임신,2,277,
8071,3동,최근 분만우,3,34,10059608
8072,2동,임신,2,302,
8073,2동,수정 준비됨,3,41,10057984
8074,3동,임신,2,260,
8076,아래,임신,2,234,
8078,2동,수정됨,3,99,10058683
8080,2동,수정됨,3,62,10070041
8081,2동,최근 분만우,3,11,
8083,3동,임신,2,241,
8086,2동,임신,2,317,
8087,아래,임신,2,174,
8089,2동,임신,2,306,
8090,3동,임신,2,246,
8091,3동,임신,2,268,
8092,아래,임신,2,250,
8093,2동,수정됨,2,353,10060133
8094,2동,임신,10,364,
8096,1동,임신,2,281,
8097,2동,수정 준비됨,2,62,10057872
8098,2동,임신,2,298,
8100,2동,임신,2,309,
8101,2동,임신,2,307,
8102,3동,수정됨,2,188,10060143
8104,3동,임신,2,251,
8105,2동,임신,2,292,
8288,2동,임신,2,324,
8312,2동,임신,2,292,
9000,3동,임신,2,261,
9001,3동,임신,2,211,
9002,3동,수정됨,2,231,10058746
9003,2동,임신,2,311,
9010,3동,임신,2,214,
9012,3동,임신,2,143,
9013,3동,임신,2,156,
9018,1동,임신,2,181,
9019,1동,임신,2,195,
9022,1동,임신,2,110,
9028,1동,최근 분만우,2,23,10069779
9030,2동,최근 분만우,2,31,10104215
9031,2동,수정됨,2,80,10059941
9035,2동,수정 준비됨,2,75,10060132
9038,2동,수정 준비됨,2,38,10059641
9039,2동,임신,1,425,
9046,2동,수정됨,2,59,10226924
9048,2동,임신,1,350,
9050,2동,수정 준비됨,2,50,10058233
9051,2동,임신,1,389,
9052,2동,임신,1,414,
9055,2동,임신,1,360,
9056,2동,임신,1,402,
9057,2동,최근 분만우,2,13,10060160
9059,2동,임신,1,421,
9063,2동,임신,1,317,
9064,2동,최근 분만우,2,34,10058612
9066,2동,임신,1,295,
9068,2동,임신,1,276,
9077,2동,임신,1,362,
9078,2동,임신,1,342,
9080,2동,임신,1,302,
9083,3동,임신,1,173,
9089,3동,임신,1,250,
9093,3동,임신,1,286,
9094,2동,최근 분만우,2,8,
9100,아래,임신,1,257,
9103,3동,임신,1,284,
9216,3동,임신,2,234,
9221,3동,수정됨,2,141,10057881
9222,1동,수정 준비됨,2,35,10069989
9235,3동,임신,2,180,
9242,1동,임신,2,133,
9251,1동,수정됨,2,108,10060139
9258,2동,임신,1,397,
9291,2동,최근 분만우,2,21,10059538
10147,3동,임신,9,254,
80530,2동,임신,11,431,
003B,2동,수정된 육성우,0,612,10060145
A140,3동,수정 준비된 육성우,0,526,10059116
A142,2동,수정 준비된 육성우,0,520,10060144
A143,2동,수정 준비된 육성우,0,520,10058326