그룹 이름,그룹 번호,대그룹,개체 수,태그 수,발정 판단 기준치
1동,3,기본값,50,17,45
2동,1,기본값,140,67,45
3동,2,기본값,120,49,45
Default,0,기본값,0,0,45
아래,4,기본값,36,15,45